repo_name,all_commit,one_file,c_language,is_opt_keyword,has_file,has_file_with_func,one_func,one_func_deduplicate,is_opt_llm,is_opt_final
--original--Trajectory-optimization-based-on-Bezier-polynomial-motion-planning-,13,12,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-Mirai-Iot-BotNet,19,17,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-STM32-RoboMaster-,46,16,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-VideoToolboxDemo,3,2,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-eBPF-,29,15,8,2,2,2,0,文件不存在,文件不存在,文件不存在
007,127,28,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
00Key,141,24,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
01_all_series_quickstart,74,15,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
04_BattleTank,128,25,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0CC-FamiTracker,1493,433,376,7,7,7,2,2,2,0
0cchext,182,102,24,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0day,378,194,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0pack,31,19,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0syscall6,8,5,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0x00sec_code,17,6,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0xUBypass,7,5,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0xdarkvortex-MalwareDevelopment,10,9,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
100-days-of-code,1310,679,43,5,5,5,0,文件不存在,文件不存在,文件不存在
123elf,292,188,53,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
1541ultimate,2422,873,487,21,21,21,8,文件不存在,文件不存在,文件不存在
1541ultimate2,2365,843,473,19,19,19,8,8,8,1
15445-bootcamp,41,25,21,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
16n,210,117,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
180-Questions-Striver-SDE-sheet-in-CPP,1760,1471,761,3,0,0,0,文件不存在,文件不存在,文件不存在
1964GEPD,67,43,31,2,1,1,0,文件不存在,文件不存在,文件不存在
1PasswordSuite,4,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
1brc,31,5,2,1,1,1,0,文件不存在,文件不存在,文件不存在
1earn,278,68,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
1st-CLaaS,540,205,21,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2016_person_re-ID,82,72,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2018AICity_TeamUW,85,55,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2019-Electronic-Design-Competition,110,36,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2019Fall-CSAPP,24,16,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2020,192,174,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2021-Postgraduate-408,458,435,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2024-2,108,77,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048,14,9,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048-cli,117,44,18,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048-in-terminal,99,56,24,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048.c,182,154,88,11,11,11,5,5,5,0
2048.cpp,376,179,98,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
21st-Century-Examples,37,22,17,0,0,0,0,文件不存在,0,0
240pTestSuite,1240,232,148,8,7,7,4,4,4,2
24h2-nt-exploit,1,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2D-3D-pose-tracking,13,10,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2D-Minecraft,32,19,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2bwm,486,367,228,1,1,1,1,1,1,0
2d-engine,11,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2ship2harkinian,3211,811,625,11,11,11,6,6,6,1
3-weeks-Google-Prep,27,17,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3.7Inch-Eink,32,32,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30-days-of-Dynamic-Programming,116,93,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30-seconds-of-cpp,935,633,96,1,1,1,0,文件不存在,文件不存在,文件不存在
30cc,211,47,26,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30dayMakeCppServer,178,86,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30dayMakeOS,268,101,78,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30daysCppWebServer,55,15,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
315Mhz-jammer,4,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
32-FUNCTION-BUTTON-BOX,7,7,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
32blit-sdk,3272,1959,1242,48,48,48,15,15,15,7
34-QMK-Ferris-Sweep,2,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
360-VJ,245,91,35,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
360Controller,563,314,41,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
360tools,31,15,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
36keys,197,117,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
386bsd,5,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
389-ds-base,6903,3563,2048,100,99,99,39,39,39,10
3D-Eye-Tracker,39,26,4,2,2,2,1,1,1,1
3D-Face-Landmark-in-UnityCG-HLSL,52,9,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Game-Programming,38,33,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Graphics-Rendering-Cookbook,115,72,23,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Graphics-Rendering-Cookbook-Second-Edition,91,43,8,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-LIDAR-Multi-Object-Tracking,100,66,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-ObjectDetection-and-Pose-Estimation,25,22,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Registration-with-Maximal-Cliques,179,159,29,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DAudioVisualizers,26,12,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DEngineCpp,150,43,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DGS.cpp,60,38,4,1,1,1,0,文件不存在,文件不存在,文件不存在
3DGS_NOTES,5,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DLineDetection,14,12,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DObjectTracking,40,23,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DShell,45,21,16,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DSident,154,70,45,1,1,1,0,文件不存在,文件不存在,文件不存在
3DStreamingToolkit,923,243,86,2,2,2,1,1,1,1
3DSync,8,4,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DUNDERWORLD-SLS-GPU_CPU,164,72,11,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DUNDERWORLD-Structured-Light-Scanner,52,42,33,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DWorld,17211,7311,6535,613,613,613,293,293,293,185
3D_Face_Reconstrction,84,78,31,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D_Fundamentals,114,34,33,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D_Ground_Segmentation,4,3,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3Dmigoto,3306,1598,1082,41,41,41,15,15,15,5
