hash,repository_name,qwenmax_optimization_summary_final,qwenmax_is_generic_optimization_final,dsv3_optimization_summary_final,dsv3_is_generic_optimization_final
d19b646bca8cc48e0a614f2ff5d152fc78013e90,atomspace,"The optimization strategy involves restructuring the search logic for parent/child type relationships to leverage strict partial order properties, reducing unnecessary comparisons.",False,The optimization strategy involves leveraging the strict partial order property to streamline searches for parent/child type relationships.,False
fbe965591f8a0a32c805a279a2505d4c20d22d26,FreeBSD-src,"The optimization strategy involved removing unnecessary readahead logic for directory blocks in NFS client operations, as it provided no performance benefit and added complexity.",False,The optimization strategy involves removing readahead for directory blocks in the NFS client to simplify code and avoid unnecessary serialized operations that do not provide performance benefits.,False
9596a29d0bdcce6fc1c6e1a710679035c957e9b0,libmtev,The optimization avoids unnecessary PCRE compilations by checking for the presence of a hash table that can override the PCRE.,False,The optimization strategy avoids unnecessary PCRE compiles by checking for the presence of a hash table that can override the PCRE.,False
f68e14805085972b4e0b0ab684af37f713b9c262,android_kernel_oneplus_msm8998,"The optimization strategy conditionally avoids incrementing and dropping the mm count when the mm being switched to matches the active mm, reducing cacheline contention on SMP systems.",False,The optimization strategy reduces atomic operations by conditionally avoiding unnecessary increments and decrements of the mm count when the mm being switched to matches the active mm.,True
5da6b5db2fa57e638f58570c4ca3931213815d06,cheribsd,The optimization strategy involved batching individual byte writes into 32-bit writes to reduce the number of PCI write cycles for improved performance on 8-bit framebuffers.,False,The optimization strategy involves grouping multiple 8-bit writes into 32-bit writes to reduce the number of PCI write cycles and improve performance.,True
7908421e0e02ddc79258864ec2c22d2541c500df,cppcheck,"The optimization strategy involved precomputing `sizeof` values during tokenization to replace them with concrete numbers, reducing runtime calculations.",False,The optimization strategy involved replacing `sizeof` with precomputed numbers to eliminate runtime calculations in the tokenizer.,True
6ffd24a8832690534281b0563d99340fd8783bc2,upbge,"The optimization removes an unnecessary sort operation for transparent objects during shadow rendering, as alpha clipping (which affects shadows) is order-independent.",False,"The optimization strategy involved removing unnecessary sorting of transparent objects during shadow rendering, as sorting is irrelevant for alpha clip effects which are order-independent.",False
1bdd5c8b9868ebc092074e078604acb80546e43f,musl,"The optimization avoids excessive upscaling in the floatscan function by reducing unnecessary iterations in the loop when processing small-magnitude, few-digit values.",False,The optimization strategy avoids excessive upscaling in the floatscan function to reduce the number of iterations in the subsequent loop.,False
c8a3a628e4ac345d62db559c3eea89dbee651c24,flux-core,The optimization avoids unnecessary job ownership access checks for RPC requests from the instance owner in the job-info watch code.,False,The optimization strategy involves skipping an unnecessary job ownership access check for RPC requests from the instance owner in the job-info watch code.,False
94fad8119eb93dd4116eabc0e446e20f4feaee7a,grpc,The optimization strategy reduces the number of channels in the qps_test to decrease resource usage and improve performance.,False,The optimization strategy involved reducing the number of channels in the QPS test to improve performance.,False
2ab150494645e01ae0fea67354d5d71a17c743ca,objeck-lang,"The optimization strategy removes unnecessary store operations that are immediately overwritten, reducing redundant memory writes.",True,"The optimization strategy involves removing dead stores, which are assignments to variables that are never subsequently used.",True
3da0aeea080f84ebc5e3059403f799469b93b773,sycl,The optimization replaces a potentially costly `getSection().empty()` check with a more efficient `hasSection()` method to improve performance.,True,The optimization strategy involves replacing the `getSection().empty()` check with the more efficient `hasSection()` method to reduce unnecessary function calls and improve performance.,True
89d1667dae6621ba7a9a5d341789f2b522063d80,libopenshot,The optimization strategy involved parallelizing the hue adjustment computation to improve performance by utilizing multiple threads.,False,The optimization strategy involved parallelizing the Hue::GetFrame function to improve performance by leveraging concurrent processing.,True
68ca534169a4f9e1930f6511109e973b43cf5998,rocksdb,The optimization strategy involved passing a function parameter by reference to avoid unnecessary copy overhead.,True,The optimization strategy involved passing a function parameter by reference instead of by value to avoid unnecessary copying.,True
12405709f0521b1596b364a91324c010eaf5baf6,ppsspp,"The optimization skips processing triangles that are partially or fully outside the visible scissor region, reducing unnecessary computations.",False,The optimization strategy involves skipping the processing of scissored triangles to reduce overhead and improve performance.,False
7089c0b8074867c6ad023e7b0dec56a147b40dc5,darktable,The optimization merges two separate loops into one to reduce memory traffic and improve cache utilization by performing pixel inversion/desaturation during the shadows/highlights adjustment pass.,False,The optimization strategy involved merging two separate loops into one to reduce memory traffic and improve performance.,True
544cea832ed42aabfe28cbc5be4fbcf083f019fe,httpd,The optimization strategy involved restructuring the logic to reduce redundant computations within the request handling process.,False,"The commit adds comments explaining a new optimization strategy, but the specific optimization details are not provided in the given context.",False
36310193f4577075762be7f4ce6ccc35a2d537dc,mlt,"The optimization strategy involved fixing a bug that caused excessive memory consumption during audio downsampling, particularly for multi-channel sources.",False,The optimization strategy involved fixing a bug in audio muxing that reduced excessive memory consumption when downsampling audio with more than two channels.,False
2aa06a989dfef2950ab45da80dd9c1adadd9f9a2,BsodSurvivor,The optimization disables the use of Alias Analysis (AA) during CodeGen for Cortex-A57 to avoid generating suboptimal code for out-of-order cores.,False,The optimization strategy involves disabling the use of alias analysis (useAA) during code generation for Cortex-A57 processors to avoid generating suboptimal code for out-of-order cores.,False
