hash,repository_name,file1_1_optimization_summary_final,file1_1_is_generic_optimization_final,file2_1_optimization_summary_final,file2_1_is_generic_optimization_final,file1_2_optimization_summary_final,file1_2_is_generic_optimization_final,file1_2_is_strategy_equivalent_final,file2_2_optimization_summary_final,file2_2_is_generic_optimization_final,file2_2_is_strategy_equivalent_final
025b85b4ac078110302c039556e4c12ba8e7a731,rocksdb,The optimization strategy involved reducing the amount of work performed by bzip in the test to avoid timeouts.,False,The optimization strategy reduces the workload by decreasing the amount of data processed in a test to avoid timeouts caused by slow operations.,False,The optimization strategy involved reducing the amount of work in the test by decreasing the number of iterations or data processed to avoid timeouts caused by slow bzip operations.,False,NA,The optimization strategy reduces the workload by decreasing the amount of data processed in a test to avoid timeouts caused by slow operations.,False,NA
cd21e4e69d76ec4ec3b080c8cdae016ac2309cc5,rocksdb,The optimization strategy involved reverting preallocation in `autovector`s to avoid unnecessary memory usage when only a small subset of keys require querying the underlying database.,False,"The optimization strategy involved reverting preallocation in containers to avoid unnecessary memory usage when only a small subset of keys require database queries, thus optimizing memory efficiency.",True,The optimization strategy involved reverting preallocation in `autovector`s to avoid unnecessary memory usage in cases where only a small subset of keys require querying the underlying database.,False,NA,The optimization strategy involves reverting preallocation in containers to avoid unnecessary memory usage and potential performance degradation when only a small subset of keys require database querying.,True,False
5c456c4c08ac046429c38792d242dd095c50b049,rocksdb,The commit optimizes compaction speed by adjusting the handling of marked files in a unit test.,False,"The optimization strategy involves adjusting the test logic to ensure accurate measurement and improvement of compaction speed for marked files, thereby enhancing the efficiency of the compaction process.",False,The commit fixes a test case related to compaction speedup for marked files by adjusting the test logic to ensure accurate performance measurement.,False,NA,The optimization strategy involves adjusting the test logic to ensure accurate measurement and improvement of compaction speed for marked files.,False,NA
92ad4a88f3199b013532b37d6598c442319355a5,rocksdb,The optimization strategy reused a decoded key in multiple places to avoid redundant decoding of length-prefixed keys.,True,"The optimization strategy involves reusing previously decoded keys to avoid redundant decoding operations, thereby reducing CPU overhead.",True,The optimization strategy reused the decoded key in more places to avoid redundant decoding of length-prefixed keys.,True,False,"The optimization strategy involves reusing previously decoded key data to avoid redundant decoding operations, thereby reducing CPU overhead.",True,False
2e5a323dbd4dbfad5b1e3d45d489e6dca37f4257,rocksdb,"The optimization strategy involved replacing the yield instruction with an isb instruction on arm64 to better mimic the behavior of the x86 pause instruction, improving performance in spin-wait loops.",False,"The optimization strategy involves replacing a less effective instruction with a more suitable one for a specific architecture (arm64) to better mimic the behavior of a pause instruction, thereby improving spin-wait loop performance.",False,"The optimization strategy involved replacing the yield instruction with an isb instruction on arm64 to better mimic the behavior of the x86 pause instruction, improving spin-wait loop performance.",False,NA,"The optimization strategy involves replacing a less effective instruction with a more suitable one for a specific architecture (arm64) to better mimic the behavior of a pause instruction, thereby improving spin-wait loop performance.",False,NA
b8b7117e97e649fc65d0a4dd397caf9a39fb71b1,rocksdb,The optimization strategy involves replacing `size() > 0` with `empty()` to ensure constant time complexity for checking container emptiness.,True,"The optimization strategy involves replacing size() > 0 checks with empty() to ensure constant time complexity for container emptiness checks, improving performance by leveraging standard guarantees.",True,"The optimization strategy involves replacing `size() > 0` with `empty()` to check for container emptiness, leveraging the constant time complexity of `empty()`.",True,True,"The optimization strategy involves replacing `size() > 0` with `empty()` to ensure constant time complexity when checking for container emptiness, improving performance by avoiding potential linear time complexity of `size()`.",True,True
beeee9dccc338ae7129016f2f2e17d2a40ecc5df,rocksdb,The optimization strategy involves reducing the frequency of expensive `ToString()` calls to minimize memory allocation overhead during compaction.,True,The optimization strategy reduces the overhead of expensive string operations by minimizing the use of costly ToString() calls during compaction.,True,The optimization strategy involves reducing the overhead of expensive `ToString()` calls by avoiding unnecessary string allocations during compaction.,True,False,"The optimization strategy reduces the overhead of expensive string operations by minimizing the use of costly `ToString()` calls during compaction, thereby decreasing memory allocation and improving performance.",True,False
d438e1ec174bdf1474edcdf9902fe3cb14b8a1e2,rocksdb,The optimization strategy involves removing an extra cache lookup in the BlockBasedTable::NewRangeTombstoneIterator() function to reduce CPU usage.,False,The optimization strategy involves reducing redundant cache lookups to improve CPU efficiency by eliminating unnecessary operations in a specific function.,True,The optimization strategy involves removing an extra cache lookup in BlockBasedTable::NewRangeTombstoneIterator() to reduce CPU usage.,False,NA,The optimization strategy involves reducing redundant cache lookups to improve CPU efficiency by eliminating unnecessary operations in a specific iterator function.,True,False
55652043c83c463ce57b7748e01c6d12bb5bf9fe,rocksdb,The optimization strategy involved passing a function parameter by reference instead of by value to reduce copy overhead.,True,The optimization strategy involves passing function parameters by reference instead of by value to reduce unnecessary copying and improve performance.,True,The optimization strategy involved passing a function parameter by reference instead of by value to avoid unnecessary copying.,True,True,The optimization strategy involves passing function parameters by reference instead of by value to reduce unnecessary copying and improve performance.,True,True
d2b0652b32b8671c9ec4057e6da2fa564d1cc610,rocksdb,"The optimization strategy involves computing the compaction score once for a batch of range file deletions instead of recalculating it for each deletion, reducing redundant calculations.",True,The optimization reduces redundant computations by calculating the compaction score once for a batch of file deletions instead of recalculating it for each individual deletion.,True,"The optimization strategy involves computing the compaction score once for a batch of range file deletions instead of recalculating it for each deletion, reducing redundant calculations.",False,NA,"The optimization reduces redundant calculations by computing the compaction score once for a batch of file deletions instead of recalculating it for each individual deletion, thereby improving performance.",True,False
821887036e5235c827029d14decb185bea01ec4b,rocksdb,The optimization strategy involves pinning L0 filter and index blocks in cache during compaction to improve performance when the `pin_l0_filter_and_index_blocks_in_cache` option is enabled.,False,The optimization strategy involves pinning filter and index blocks in cache for specific compaction outputs to reduce access latency and improve performance.,False,The optimization strategy involves pinning L0 filter and index blocks in cache during compaction outputs to improve performance when the `pin_l0_filter_and_index_blocks_in_cache` option is enabled.,False,NA,The optimization strategy involves pinning filter and index blocks in cache for specific compaction outputs to reduce access latency and improve performance.,False,NA
18eeb7b90e45af4bbac0777021711d8547f41eca,rocksdb,The optimization strategy involved fixing the interference between `max_total_wal_size` and `db_write_buffer_size` checks to prevent unnecessary OOMs by ensuring proper flushing of memtables.,False,The optimization strategy involves adjusting the interaction between memory management checks to prevent unnecessary flushing and improve write performance under high throughput conditions.,False,"The optimization strategy involves modifying the condition checks in `WriteImpl` to ensure that `write_buffer_manager_->ShouldFlush()` is evaluated independently of `total_log_size_` being greater than `GetMaxTotalWalSize()`, preventing unnecessary memtable flushes.",False,NA,The optimization strategy involves adjusting the interaction between memory management checks to prevent unnecessary memory growth and improve write performance by ensuring appropriate flushing behavior.,False,NA
f053851af643755dc2ee252f92e3853b30a12be3,rocksdb,The optimization strategy involves ignoring non-overlapping levels when determining grandparent files to improve compaction efficiency.,False,The optimization strategy involves skipping non-overlapping levels when determining grandparent files for compaction to avoid unnecessary operations and improve efficiency.,False,The optimization strategy involves ignoring non-overlapping levels when determining grandparent files to improve compaction efficiency.,False,NA,The optimization strategy involves skipping non-overlapping levels when determining grandparent files to avoid unnecessary compaction work and improve efficiency.,False,NA
f69071265203edb0084f136b03bd4fcb42f16911,rocksdb,The optimization strategy involved speeding up the shutdown process of db_bench by modifying the destructor of the Benchmark class.,False,The optimization strategy involves speeding up the shutdown process by reducing unnecessary operations or overhead during the termination phase of the application.,True,The optimization strategy involved speeding up the shutdown process of db_bench by reducing unnecessary operations during termination.,False,NA,The optimization strategy involves speeding up the shutdown process by reducing unnecessary operations or overhead during the termination phase of the application.,True,False
4704833357a8609e7c42df4f337f938a8e870c08,rocksdb,The optimization strategy involves passing the input string to WriteBatch() by const reference to reduce data copying.,True,"The optimization strategy involves passing input strings by const reference to avoid unnecessary data copying, thereby reducing overhead and improving performance.",True,The optimization strategy involves passing an input string to the WriteBatch function by const reference to reduce data copying.,True,True,"The optimization strategy involves passing input strings by const reference to avoid unnecessary data copying, thereby reducing overhead and improving performance.",True,True
e48ccc28f4eebcc05b6333b129ee5908214d3259,rocksdb,The optimization strategy involves avoiding writing file checksum manifest entries when they are unused to save manifest file space.,False,"The optimization strategy reduces unnecessary data writing by skipping the inclusion of file checksum entries in the manifest when they are not used, thereby saving storage space and improving performance.",True,The optimization strategy involves avoiding writing file checksum manifest entries when they are unused to save manifest file space.,False,NA,"The optimization strategy reduces unnecessary data writing by skipping the generation of file checksum entries in the manifest when they are not used, thereby saving storage space and improving performance.",True,True
f9cfc6a808c9dc3ab7366edb10368559155d5172,rocksdb,"The optimization strategy involves avoiding the fetching of the uncompression dictionary for non-data blocks when it is not needed, specifically in the context of partitioned index and dictionary compression.",False,The optimization strategy involves avoiding unnecessary operations (fetching uncompression dictionaries) for non-data blocks to reduce CPU overhead and improve performance.,True,The optimization strategy involves avoiding the fetching of the uncompression dictionary for non-data blocks when partitioned index and dictionary compression are enabled.,False,NA,The optimization strategy involves avoiding unnecessary operations (fetching uncompression dictionaries) for non-data blocks to reduce CPU overhead and improve performance.,True,True
